Metric,Unit,x,y,POP.2020.SSP1,POP.2030.SSP1,POP.2040.SSP1,POP.2050.SSP1,POP.2060.SSP1,POP.2070.SSP1,POP.2080.SSP1,POP.2090.SSP1,POP.2100.SSP1,POP.2020.SSP2,POP.2030.SSP2,POP.2040.SSP2,POP.2050.SSP2,POP.2060.SSP2,POP.2070.SSP2,POP.2080.SSP2,POP.2090.SSP2,POP.2100.SSP2,POP.2020.SSP3,POP.2030.SSP3,POP.2040.SSP3,POP.2050.SSP3,POP.2060.SSP3,POP.2070.SSP3,POP.2080.SSP3,POP.2090.SSP3,POP.2100.SSP3,POP.2020.SSP4,POP.2030.SSP4,POP.2040.SSP4,POP.2050.SSP4,POP.2060.SSP4,POP.2070.SSP4,POP.2080.SSP4,POP.2090.SSP4,POP.2100.SSP4,POP.2020.SSP5,POP.2030.SSP5,POP.2040.SSP5,POP.2050.SSP5,POP.2060.SSP5,POP.2070.SSP5,POP.2080.SSP5,POP.2090.SSP5,POP.2100.SSP5
Population,headcount,238500,687500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Population,headcount,239500,687500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Population,headcount,240500,687500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Population,headcount,241500,687500,3.2459700110000003,3.201991796,3.163948059,3.205929756,3.2874722480000003,3.358502865,3.358987808,3.347905636,3.2891004089999996,3.2459700110000003,3.175829887,3.133610964,3.179032326,3.257499695,3.328026533,3.352958202,3.3825597760000004,3.383624554,3.2459700110000003,2.977463722,2.850674868,2.73173213,2.672303677,2.5660851000000005,2.430495262,2.31628418,2.150219679,3.2459700110000003,3.0823411939999996,3.0411782260000004,3.00533247,2.9859561919999997,2.942854643,2.831709862,2.750453472,2.564968586,3.2459700110000003,3.408024549,3.4845557210000004,3.7148234839999996,4.02325201,4.86003685,5.5235638620000005,5.829796314,6.07583952
Population,headcount,242500,687500,43.53513718,42.94615936,42.43664169,43.01101303,44.10424042,45.06778717,45.07312393,44.92292023,44.133255,43.53513718,42.594840999999995,42.04122925,42.64906693,43.71319199,44.65829849,44.9922905,45.38903809,45.40237808,43.53513718,40.42325592,38.43333817,36.82709122,36.25273132,34.81188583,32.97941589,33.86935043,31.44400597,43.53513718,41.34083557,40.7594223,40.28983688,40.03009415,39.45210266,37.96136475,36.73291397,34.25466156,43.53513718,45.72359085,50.43653488,53.72769165,58.56885529,69.28704071,78.16303253,82.40306854,85.86792755
Population,headcount,243500,687500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0864467620000005,6.478619098999999,7.005422115,7.753847122000001,8.752585411,9.230090141,9.618132591
Population,headcount,244500,687500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.17008543,6.520307541,7.053151607999999,7.813483238,8.327788352999999,8.789169312,9.159573555
Population,headcount,245500,687500,124.155304,122.48935700000001,121.0761719,122.6997604,125.83784479999998,128.5391846,128.5419922,128.1354828,125.9353485,124.155304,121.45177460000001,119.88700870000001,121.638443,124.6916733,127.40557859999998,128.3760834,129.5592499,129.6152039,124.155304,114.82144170000001,107.2481308,102.75623320000001,101.6675415,98.44576263,93.2551651,90.43699646,83.95024109,124.155304,117.8777847,114.63211820000001,113.3470688,112.6280594,110.98559569999999,106.77792360000001,102.14492800000001,95.24299622,124.155304,129.9134979,146.8286438,155.1957397,168.10125730000001,185.25175480000001,197.71313480000003,207.3201447,216.1299744
Population,headcount,237500,686500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Population,headcount,238500,686500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
